                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5465,                 3.9495,                 4.2231,                0.00208,                0.56296,                0.00313,                0.00063,                 3.5896,                 4.0729,                 4.1186,                 0.0757,                 0.0027,                 0.0027
                      1,                 3.4314,                 3.7661,                 4.1471,                0.00228,                0.63704,                0.00423,                0.00082,                 3.5217,                 3.9829,                 4.0763,               0.050391,              0.0053911,              0.0053911
                      2,                 3.2938,                 3.3588,                   4.03,                0.00229,                0.65926,                0.00438,                0.00086,                 3.4838,                 3.8402,                 4.0593,               0.024971,              0.0079713,              0.0079713
                      3,                 3.0336,                 2.8764,                 3.7459,                0.03999,                    0.6,                0.03533,                0.00957,                 2.6379,                 3.7697,                 3.6914,               0.009406,               0.009406,               0.009406
                      4,                 2.6551,                 2.7662,                 3.5298,                0.24521,                0.28889,                0.15158,                0.04657,                 2.6365,                 6.7244,                 4.2647,               0.009406,               0.009406,               0.009406
                      5,                   2.52,                 2.4026,                 3.2783,                0.15389,                0.18519,                 0.0704,                0.01563,                 2.6388,                 3.7776,                 6.2592,               0.009208,               0.009208,               0.009208
                      6,                 2.3949,                 2.2131,                 3.1006,                  0.202,                0.00741,                0.00826,                 0.0019,                 2.9075,                 5.5811,                 7.9073,                0.00901,                0.00901,                0.00901
                      7,                 2.1948,                 2.0922,                 2.9138,                0.27059,                0.41481,                0.31674,                 0.1268,                 2.2316,                  2.396,                 3.1575,               0.008812,               0.008812,               0.008812
                      8,                  2.116,                 1.8616,                 2.7642,                0.26202,                0.15782,                0.09945,                0.02639,                 2.8467,                 3.2399,                 3.6518,               0.008614,               0.008614,               0.008614
                      9,                 1.9779,                 1.6674,                 2.6593,                0.60987,                0.76296,                0.69872,                 0.3528,                 1.8105,                 1.7062,                 2.7299,               0.008416,               0.008416,               0.008416
